Country,Countrycode3,Countrycode2,Year,Population,Incomegroup,Mean,Median,Gini,Source,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Q1,Q2,Q3,Q4,Q5,P5,P95,Revision,Quality,Source_Comments,Region,Region_sub,Currency,Reference_Period,Welfaredefn,IncSharU,UofAnala,Equivsc,AreaCovr,PopCovr,AgeCovr,EU,OECD,Year_cat,Welfaredefn_new,Equivsc_new,AgeCovr_new,AreaCovr_new,PopCovr_new,IncSharU_new,UofAnala_new,Exchangerate,Mean_usd,Median_usd
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,,,42,Jain 1975,3.2,4,4.7,5.5,6.4,7.4,8.7,10.7,13.8,35.6,7.2,10.2,13.8,19.4,49.4,,26.4,,Not known,Cline 1972,Americas,South America,,,Income,Household,Household,No adjustment,Nonagricultural sector,All,All,Non-EU,Non-OECD,1960-1969,Other,Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,,,43.8,Jain 1975,3.1,3.8,4.5,5.2,6.1,7.2,8.6,10.6,13.9,37,6.9,9.7,13.3,19.2,50.9,,32,,Not known,UN-ECLA 69,Americas,South America,,,Income,Household,Household,No adjustment,All,All,All,Non-EU,Non-OECD,1960-1969,Other,Without adjustment,All,All,All,Household,Household,,,
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,78620,,53.1,Jain 1975,2.1,3.1,3.7,4.5,5.3,6.4,7.6,9.5,12.6,45.2,5.2,8.2,11.7,17.1,57.8,,36.8,,Not known,UN-ECLA 69,Americas,South America,Pesos,Year,Income,Person,Person,No adjustment,Agricultural sector,Income Recipients,All,Non-EU,Non-OECD,1960-1969,Other,Without adjustment,All,Rural,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,92140,,49,Jain 1975,1.8,3.3,4.3,5,6,7.1,8.4,10.2,13.2,40.7,5.1,9.3,13.1,18.6,53.9,,32,,Not known,UN-ECLA 69,Americas,South America,Pesos,Year,Income,Person,Person,No adjustment,All,Income Recipients,All,Non-EU,Non-OECD,1960-1969,Other,Without adjustment,All,All,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,,,47.7,Jain 1975,1.6,3.4,4.5,5.3,6.3,7.4,8.6,10.4,13.2,39.3,5,9.8,13.7,19,52.5,,30.8,,Low,Synthetic estimates (UN-ECLA 1970),Americas,South America,,,Income,,Person,,Nonagricultural sector,All,All,Non-EU,Non-OECD,1960-1969,Other,,All,Urban,All,,Person,,,
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,,,42.5,Lecaillon et al. 1984,,,,,,,,,,,,,,,,,,,Not known,,Americas,South America,,,Primary income,Household,Household,No adjustment,Urban,All,All,Non-EU,Non-OECD,1960-1969,Other,Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,,,47.8,Lecaillon et al. 1984,,,,,,,,,,,,,,,,,,,Low,,Americas,South America,,,Primary income,,Person,,Urban,Econ. Active Population,All,Non-EU,Non-OECD,1960-1969,Other,,All,Urban,Employed+Others,,Person,,,
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,,,42,Paukert 1973,,,,,,,,,,,7,10.4,13.2,17.9,51.5,,29.3,,Not known,Weisskoff 1970,Americas,South America,,,"Income, gross",Household,Household,No adjustment,All,All,All,Non-EU,Non-OECD,1960-1969,"Income, gross",Without adjustment,All,All,All,Household,Household,,,
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,,,43.4,Weisskoff 1970,2.9,4.1,4.9,5.5,6.1,7.1,8.1,9.8,12.6,39,7,10.4,13.2,17.9,51.6,,,,Low,ACND,Americas,South America,,,Income,Household,Household,No adjustment,All,All,All,Non-EU,Non-OECD,1960-1969,Other,Without adjustment,All,All,All,Household,Household,,,
Argentina,ARG,AR,1963,21.626101,High income: non-OECD,,252300,37.3,Altimir 1986,2.7,4.1,5,6,7.1,8.1,9.6,11.7,15.2,30.5,6.8,11,15.2,21.3,45.7,,,,Low,Encuesta de Presupuesto de Consumo,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,Urban,All,All,Non-EU,Non-OECD,1960-1969,"Income, disposable",Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1963,21.626101,High income: non-OECD,,258300,35.8,Altimir 1986,2.9,4.3,5.3,6.3,7.2,8.1,9.5,11.7,15.2,29.5,7.2,11.6,15.3,21.2,44.7,,,,Low,Encuesta de Presupuestos de Consumo,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,Metro,All,All,Non-EU,Non-OECD,1960-1969,"Income, disposable",Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1963,21.626101,High income: non-OECD,,,38.5,Jain 1975,2.8,4,5,5.8,6.9,8.1,9.8,11.9,15.6,30.1,6.8,10.8,15,21.7,45.7,,19.8,,Low,"Encuesta Sobre Presupuestos de Consumo de las Familias Urbanos, por Niveles de Ingreso para 1963",Americas,South America,,,Income,Household,Household,No adjustment,Urban,All,All,Non-EU,Non-OECD,1960-1969,Other,Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1965,22.293096,High income: non-OECD,,387192,35.3,Altimir 1986,2.3,4.1,5.3,6.4,7.5,8.8,10.5,12.3,15.7,27,6.4,11.7,16.3,22.8,42.7,,,,Low,Encuesta de Consumo de Alimentos,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,Metro,All,All,Non-EU,Non-OECD,1960-1969,"Income, disposable",Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1969,23.610612,High income: non-OECD,,12696,37.3,Altimir 1986,2.3,3.9,5.1,6,7.2,8.5,10.1,12,15.7,29.2,6.2,11.1,15.7,22.1,44.9,,,,Average,Encuesta de Presupuestos Familiares,Americas,South America,Pesos,Month,"Income, gross",Household,Household,No adjustment,Metro,All,All,Non-EU,Non-OECD,1960-1969,"Income, gross",Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1970,23.973062,High income: non-OECD,,9252,36.1,Altimir 1986,2.3,4,5.6,6.1,7.6,8.6,10.7,12.2,15.8,27.6,6.3,11.7,16.2,22.9,43.4,,,,Low,Encuesta de Empleo y Desempleo: Suplemento de Ingresos,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,Metro,All,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1970,23.973062,High income: non-OECD,,,41.1,Jain 1975,1.9,3.7,4.8,5.8,6.9,8.2,9.7,12,15.4,31.6,5.6,10.6,15.1,21.7,47,,21.4,,Low,,Americas,South America,,,Income,,Person,,Capital,All,All,Non-EU,Non-OECD,1970-1979,Other,,All,Urban,All,,Person,,,
Argentina,ARG,AR,1972,24.78295,High income: non-OECD,,11712,35.3,Altimir 1986,2.2,4.1,5.4,6.6,7.7,8.9,10.1,12,15.3,27.7,6.3,12,16.6,22.1,43,,,,Low,Encuesta Nacional de Hogares,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,All,All,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Without adjustment,All,All,All,Household,Household,,,
Argentina,ARG,AR,1972,24.78295,High income: non-OECD,,12216,33.4,Altimir 1986,2.5,4.4,5.7,6.8,7.9,8.9,10.1,11.9,15.2,26.6,6.9,12.5,16.8,22,41.8,,,,Low,Encuesta Permanente de Hogares,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,Urban,All,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1974,25.644505,High income: non-OECD,,43620,36,Altimir 1986,2.2,3.8,5.2,6.3,7.6,8.8,10.4,12.5,16.1,27.1,6,11.5,16.4,22.9,43.2,,,,Low,Encuesta Permanente de Hogares,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,Metro,All,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1974,25.644505,High income: non-OECD,,,34.4,Fishlow et al. 1993,,,,,,,,,,26.8,6.8,,,,,,,,Low,Encuesta Permanente de Hogares,Americas,South America,,,"Monetary income, disposable",Person,Person,No adjustment,Metro,Econ. Active Population,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Without adjustment,All,Urban,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1974,25.644505,High income: non-OECD,,,32.2,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,3.1,4.7,5.8,6.8,7.9,9,10.4,12.1,15.1,25.1,7.8,12.6,16.9,22.5,40.2,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Household eq,Greater Buenos Aires,All,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Household adult equiv,All,Urban,All,Household,Person,,,
Argentina,ARG,AR,1974,25.644505,High income: non-OECD,,,34.5,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,2.8,4.4,5.4,6.5,7.6,8.9,10.4,12.3,15.5,26.3,7.2,11.9,16.5,22.7,41.8,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Greater Buenos Aires,All,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Argentina,ARG,AR,1975,26.066975,High income: non-OECD,,124212,36.1,Altimir 1986,2.2,3.7,5.1,6.3,7.5,9,10.5,12.8,16.2,26.7,5.9,11.4,16.5,23.3,42.9,,,,Low,Encuesta Permanente de Hogares,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,Metro,All,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1975,26.066975,High income: non-OECD,,,34.7,Fishlow et al. 1993,,,,,,,,,,26.4,6.3,,,,,,,,Low,Encuesta Permanente de Hogares,Americas,South America,,,"Monetary income, disposable",Person,Person,No adjustment,Metro,Econ. Active Population,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Without adjustment,All,Urban,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1976,26.477153,High income: non-OECD,,,35.2,Fishlow et al. 1993,,,,,,,,,,27.2,7,,,,,,,,Low,Encuesta Permanente de Hogares,Americas,South America,,,"Monetary income, disposable",Person,Person,No adjustment,Metro,Econ. Active Population,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Without adjustment,All,Urban,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1977,26.878567,High income: non-OECD,,,40.3,Fishlow et al. 1993,,,,,,,,,,31.8,6.4,,,,,,,,Low,Encuesta Permanente de Hogares,Americas,South America,,,"Monetary income, disposable",Person,Person,No adjustment,Metro,Econ. Active Population,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Without adjustment,All,Urban,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1978,27.277742,High income: non-OECD,,,43.4,Fishlow et al. 1993,,,,,,,,,,34,5.6,,,,,,,,Low,Encuesta Permanente de Hogares,Americas,South America,,,"Monetary income, disposable",Person,Person,No adjustment,Metro,Econ. Active Population,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Without adjustment,All,Urban,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1979,27.68453,High income: non-OECD,,,41.3,Fishlow et al. 1993,,,,,,,,,,32.6,5.9,,,,,,,,Low,Encuesta Permanente de Hogares,Americas,South America,,,"Monetary income, disposable",Person,Person,No adjustment,Metro,Econ. Active Population,All,Non-EU,Non-OECD,1970-1979,"Income, disposable",Without adjustment,All,Urban,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1980,28.105889,High income: non-OECD,,24438000,41.6,Altimir 1986,2,3,4.2,5.3,6.7,8.2,10,12.8,16.9,30.9,5,9.5,14.9,22.8,47.8,,,,Low,Encuesta Permanente de Hogares,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,Metro,All,All,Non-EU,Non-OECD,1980-1989,"Income, disposable",Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1980,28.105889,High income: non-OECD,,,40.5,Fishlow et al. 1993,,,,,,,,,,31.8,6.2,,,,,,,,Low,Encuesta Permanente de Hogares,Americas,South America,,,"Monetary income, disposable",Person,Person,No adjustment,Metro,Econ. Active Population,All,Non-EU,Non-OECD,1980-1989,"Income, disposable",Without adjustment,All,Urban,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1980,28.105889,High income: non-OECD,7032000,,40.8,Psacharopoulos et al. 1997,1.9,3.4,4.6,5.7,6.9,8.3,10.1,12.5,16.6,30,5.3,10.3,15.2,22.6,46.6,,,,Average,Encuesta Permanente de Hogares,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Person,Per capita,Metro,All,All,Non-EU,Non-OECD,1980-1989,"Income, disposable",Household per capita,All,Urban,All,Household,Person,1.83715833333225E-08,,
Argentina,ARG,AR,1980,28.105889,High income: non-OECD,,,37.6,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,2.6,3.9,5,6.1,7.1,8.4,10,12.4,16.3,28.3,6.5,11.1,15.5,22.4,44.6,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Household eq,Greater Buenos Aires,All,All,Non-EU,Non-OECD,1980-1989,"Income, disposable",Household adult equiv,All,Urban,All,Household,Person,,,
Argentina,ARG,AR,1980,28.105889,High income: non-OECD,,,39.3,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,2.2,3.7,4.7,5.8,7,8.4,10,12.5,16.5,29.2,5.9,10.5,15.4,22.5,45.7,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Greater Buenos Aires,All,All,Non-EU,Non-OECD,1980-1989,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Argentina,ARG,AR,1981,28.543366,High income: non-OECD,,45446400,42.7,Altimir 1986,2.1,3.1,4.2,5.2,6.4,7.9,9.5,11.9,16.2,33.5,5.2,9.4,14.3,21.4,49.7,,,,Low,Encuesta Permanente de Hogares,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,Metro,All,All,Non-EU,Non-OECD,1980-1989,"Income, disposable",Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1981,28.543366,High income: non-OECD,,,42.8,Fishlow et al. 1993,,,,,,,,,,34.2,5.8,,,,,,,,Low,Encuesta Permanente de Hogares,Americas,South America,,,"Monetary income, disposable",Person,Person,No adjustment,Metro,Econ. Active Population,All,Non-EU,Non-OECD,1980-1989,"Income, disposable",Without adjustment,All,Urban,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1982,28.993989,High income: non-OECD,,,40.2,Fishlow et al. 1993,,,,,,,,,,31.8,6,,,,,,,,Low,Encuesta Permanente de Hogares,Americas,South America,,,"Monetary income, disposable",Person,Person,No adjustment,Metro,Econ. Active Population,All,Non-EU,Non-OECD,1980-1989,"Income, disposable",Without adjustment,All,Urban,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1983,29.454739,High income: non-OECD,,,40.4,Fishlow et al. 1993,,,,,,,,,,31.9,5.5,,,,,,,,Low,Encuesta Permanente de Hogares,Americas,South America,,,"Monetary income, disposable",Person,Person,No adjustment,Metro,Econ. Active Population,All,Non-EU,Non-OECD,1980-1989,"Income, disposable",Without adjustment,All,Urban,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1985,30.388781,High income: non-OECD,,,39.8,Fishlow et al. 1993,,,,,,,,,,31.4,6.3,,,,,,,,Low,Encuesta Permanente de Hogares,Americas,South America,,,"Monetary income, disposable",Person,Person,No adjustment,Metro,Econ. Active Population,All,Non-EU,Non-OECD,1980-1989,"Income, disposable",Without adjustment,All,Urban,Employed+Others,Person,Person,,,
Argentina,ARG,AR,1986,30.857242,High income: non-OECD,,,40.5,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,2.3,3.7,4.8,5.7,6.7,8.1,9.6,11.9,16.1,31.2,6,10.5,14.8,21.5,47.3,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Household eq,Greater Buenos Aires,All,All,Non-EU,Non-OECD,1980-1989,"Income, disposable",Household adult equiv,All,Urban,All,Household,Person,,,
Argentina,ARG,AR,1986,30.857242,High income: non-OECD,,,42.2,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,2.1,3.4,4.4,5.5,6.7,8,9.7,12,16.2,32,5.5,9.9,14.7,21.7,48.2,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Greater Buenos Aires,All,All,Non-EU,Non-OECD,1980-1989,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
